-2024_9_14-21_28_26
7_13_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_18_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_18_42 | DEBUG | [AIRDROP] Player count: 0
7_18_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_23_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_23_42 | DEBUG | [AIRDROP] Player count: 0
7_23_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_28_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_28_42 | DEBUG | [AIRDROP] Player count: 0
7_28_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_33_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_33_42 | DEBUG | [AIRDROP] Player count: 0
7_33_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_38_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_38_42 | DEBUG | [AIRDROP] Player count: 0
7_38_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_43_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_43_42 | DEBUG | [AIRDROP] Player count: 0
7_43_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_48_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_48_42 | DEBUG | [AIRDROP] Player count: 0
7_48_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_53_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_53_42 | DEBUG | [AIRDROP] Player count: 0
7_53_42 | INFO | [AIRDROP] Players to start the airdrop.0
7_58_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
7_58_42 | DEBUG | [AIRDROP] Player count: 0
7_58_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_3_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_3_42 | DEBUG | [AIRDROP] Player count: 0
8_3_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_8_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_8_42 | DEBUG | [AIRDROP] Player count: 0
8_8_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_13_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_13_42 | DEBUG | [AIRDROP] Player count: 0
8_13_42 | INFO | [AIRDROP] Players to start the airdrop.0
8_18_42 | DEBUG | [AIRDROP] AirdropEventHandler dropLocations count: 3
8_18_42 | DEBUG | [AIRDROP] Player count: 0
